date,product_id,product_category,region,daily_sales,price,promotion,weekday
2022-02-27,1005,Snacks,Urban,485,13.71841763,0,6
2022-02-28,1003,Household,Semi-Urban,1333,3.769374797,1,0
2022-03-01,1005,Snacks,Rural,574,9.539242869,0,1
2022-03-02,1005,Snacks,Semi-Urban,517,12.16980305,0,2
2022-03-03,1003,Household,Rural,446,19.02308374,0,3
2022-03-04,1004,Personal Care,Semi-Urban,1652,5.798027859,0,4
2022-03-05,1005,Snacks,Urban,739,7.82576421,0,5
2022-03-06,1005,Snacks,Urban,1038,8.207813209,1,6
2022-03-07,1003,Household,Urban,1054,12.505225,0,0
2022-03-08,1005,Snacks,Rural,975,7.777909008,1,1
2022-03-09,1005,Snacks,Rural,862,11.13672658,1,2
2022-03-10,1003,Household,Semi-Urban,1302,15.85401627,0,3
2022-03-11,1003,Household,Semi-Urban,1305,14.40232629,1,4
2022-03-12,1001,Beverages,Urban,763,9.481004284,0,5
2022-03-13,1004,Personal Care,Rural,124,17.42010738,1,6
2022-03-14,1004,Personal Care,Semi-Urban,1303,11.60466474,1,0
2022-03-15,1005,Snacks,Rural,809,11.25821095,0,1
2022-03-16,1004,Personal Care,Rural,1624,1.649567553,0,2
2022-03-17,1005,Snacks,Urban,1979,19.74716663,0,3
2022-03-18,1001,Beverages,Urban,1284,3.336445362,0,4
2022-03-19,1003,Household,Rural,276,5.391487336,0,5
2022-03-20,1003,Household,Rural,384,1.982239908,1,6
2022-03-21,1003,Household,Rural,162,13.16005637,1,0
2022-03-22,1004,Personal Care,Rural,1102,5.269322362,1,1
2022-03-23,1001,Beverages,Urban,761,4.420198312,1,2
2022-03-24,1004,Personal Care,Semi-Urban,765,2.6825561,1,3
2022-03-25,1004,Personal Care,Urban,255,2.962870185,1,4
2022-03-26,1001,Beverages,Semi-Urban,1592,12.10874331,1,5
2022-03-27,1001,Beverages,Rural,1172,14.07594945,0,6
2022-03-28,1001,Beverages,Semi-Urban,1066,8.550200781,0,0
2022-03-29,1001,Beverages,Urban,948,10.11804455,1,1
2022-03-30,1003,Household,Urban,1207,14.03338698,1,2
2022-03-31,1002,Dairy,Rural,1484,1.330216014,0,3
2022-04-01,1002,Dairy,Urban,788,7.139482484,0,4
2022-04-02,1001,Beverages,Rural,247,19.48885721,0,5
2022-04-03,1002,Dairy,Urban,1753,12.02213236,0,6
2022-04-04,1002,Dairy,Urban,441,5.830267018,1,0
2022-04-05,1001,Beverages,Rural,575,10.91287089,0,1
2022-04-06,1002,Dairy,Semi-Urban,1186,7.510416274,1,2
2022-04-07,1004,Personal Care,Urban,1824,11.11265479,1,3
2022-04-08,1005,Snacks,Semi-Urban,1483,3.389088724,1,4
2022-04-09,1005,Snacks,Urban,660,3.521578423,0,5
2022-04-10,1001,Beverages,Urban,426,3.727304879,0,6
2022-04-11,1003,Household,Urban,1892,18.85657605,1,0
2022-04-12,1001,Beverages,Urban,1859,14.92507945,1,1
2022-04-13,1003,Household,Semi-Urban,1264,4.085255999,1,2
2022-04-14,1005,Snacks,Semi-Urban,1089,4.578632592,0,3
2022-04-15,1001,Beverages,Urban,314,14.88576002,1,4
2022-04-16,1004,Personal Care,Urban,534,3.967113051,0,5
2022-04-17,1002,Dairy,Semi-Urban,1051,5.456664573,1,6
2022-04-18,1003,Household,Rural,822,19.30358982,1,0
2022-04-19,1002,Dairy,Rural,1441,5.85082397,1,1
2022-04-20,1002,Dairy,Semi-Urban,131,13.57101466,0,2
2022-04-21,1001,Beverages,Urban,769,19.59399446,0,3
2022-04-22,1002,Dairy,Urban,384,8.111638576,1,4
2022-04-23,1004,Personal Care,Rural,1428,1.332803826,0,5
2022-04-24,1002,Dairy,Rural,528,5.638798518,1,6
2022-04-25,1001,Beverages,Semi-Urban,1600,16.78666664,0,0
2022-04-26,1004,Personal Care,Rural,385,17.42756788,0,1
2022-04-27,1005,Snacks,Semi-Urban,1267,15.60186793,0,2
2022-04-28,1002,Dairy,Rural,1547,3.149086562,1,3
2022-04-29,1001,Beverages,Rural,1142,16.11469706,0,4
2022-04-30,1005,Snacks,Rural,117,18.45487814,0,5
2022-05-01,1005,Snacks,Urban,868,12.41158131,1,6
2022-05-02,1003,Household,Urban,689,18.87663177,1,0
2022-05-03,1004,Personal Care,Urban,1494,16.70993879,1,1
2022-05-04,1002,Dairy,Rural,1298,13.67245882,1,2
2022-05-05,1001,Beverages,Semi-Urban,1109,11.9665195,0,3
2022-05-06,1003,Household,Semi-Urban,293,7.622899678,0,4
2022-05-07,1004,Personal Care,Semi-Urban,601,4.02646146,0,5
2022-05-08,1003,Household,Semi-Urban,1087,12.49412453,0,6
2022-05-09,1004,Personal Care,Urban,1236,7.044119519,0,0
2022-05-10,1004,Personal Care,Urban,213,17.46233468,1,1
2022-05-11,1002,Dairy,Rural,1345,19.87340181,0,2
2022-05-12,1004,Personal Care,Rural,1801,15.29612749,0,3
2022-05-13,1003,Household,Semi-Urban,1046,2.71915221,0,4
2022-05-14,1004,Personal Care,Urban,930,6.485026315,1,5
2022-05-15,1002,Dairy,Semi-Urban,1767,3.073083004,1,6
2022-05-16,1002,Dairy,Rural,1387,13.35972131,0,0
2022-05-17,1003,Household,Rural,1024,15.53862643,1,1
2022-05-18,1005,Snacks,Semi-Urban,154,18.58782179,1,2
2022-05-19,1005,Snacks,Rural,1994,9.325274582,1,3
2022-05-20,1004,Personal Care,Semi-Urban,1766,18.12613734,1,4
2022-05-21,1001,Beverages,Urban,899,17.67993202,1,5
2022-05-22,1004,Personal Care,Semi-Urban,877,7.026718619,1,6
2022-05-23,1003,Household,Urban,1581,17.50911189,1,0
2022-05-24,1003,Household,Urban,261,8.137772786,0,1
2022-05-25,1003,Household,Rural,1503,6.640516217,0,2
2022-05-26,1003,Household,Rural,186,13.33241852,1,3
2022-05-27,1003,Household,Rural,154,7.23924333,0,4
2022-05-28,1002,Dairy,Semi-Urban,1599,12.97396622,0,5
2022-05-29,1005,Snacks,Semi-Urban,1923,12.5868043,1,6
2022-05-30,1003,Household,Rural,1301,11.70533962,0,0
2022-05-31,1001,Beverages,Semi-Urban,1514,8.22797438,1,1
2022-06-01,1001,Beverages,Rural,1472,11.42149471,1,2
2022-06-02,1001,Beverages,Semi-Urban,1131,12.33322402,1,3
2022-06-03,1001,Beverages,Urban,932,11.36805088,0,4
2022-06-04,1002,Dairy,Urban,412,9.443969602,0,5
2022-06-05,1001,Beverages,Rural,858,1.278674084,0,6
2022-06-06,1003,Household,Semi-Urban,1958,12.15417245,0,0
2022-06-07,1004,Personal Care,Semi-Urban,542,4.200443318,1,1
2022-06-08,1001,Beverages,Urban,1890,13.20894341,1,2
2022-06-09,1002,Dairy,Urban,427,15.42754223,0,3
2022-06-10,1002,Dairy,Rural,1177,10.50846087,1,4
2022-06-11,1001,Beverages,Urban,860,11.30490963,1,5
2022-06-12,1004,Personal Care,Rural,1362,19.07809263,0,6
2022-06-13,1001,Beverages,Urban,1352,17.09617987,1,0
2022-06-14,1002,Dairy,Urban,678,18.3704938,0,1
2022-06-15,1005,Snacks,Semi-Urban,1174,16.46155948,1,2
2022-06-16,1003,Household,Urban,1732,3.069448495,0,3
2022-06-17,1002,Dairy,Urban,1727,3.830845263,1,4
2022-06-18,1001,Beverages,Rural,1106,11.00585215,1,5
2022-06-19,1003,Household,Urban,1387,5.675323517,0,6
2022-06-20,1001,Beverages,Rural,1541,10.05721403,0,0
2022-06-21,1001,Beverages,Urban,1926,8.492941153,0,1
2022-06-22,1005,Snacks,Urban,195,11.43887053,0,2
2022-06-23,1003,Household,Rural,1211,15.19063861,1,3
2022-06-24,1003,Household,Semi-Urban,1201,14.59432723,1,4
2022-06-25,1005,Snacks,Rural,1411,10.90344852,0,5
2022-06-26,1002,Dairy,Rural,1243,16.62547496,1,6
2022-06-27,1001,Beverages,Rural,913,9.186379739,0,0
2022-06-28,1004,Personal Care,Semi-Urban,590,18.03757151,0,1
2022-06-29,1001,Beverages,Urban,551,2.354325131,1,2
2022-06-30,1001,Beverages,Rural,1623,19.13854057,1,3
2022-07-01,1002,Dairy,Rural,264,13.43916855,0,4
2022-07-02,1001,Beverages,Semi-Urban,281,8.22141567,0,5
2022-07-03,1005,Snacks,Rural,568,4.745928405,0,6
2022-07-04,1005,Snacks,Urban,1009,10.10448136,1,0
2022-07-05,1003,Household,Semi-Urban,834,4.696608141,1,1
2022-07-06,1004,Personal Care,Urban,922,4.160300547,1,2
2022-07-07,1001,Beverages,Urban,1043,12.72968339,1,3
2022-07-08,1001,Beverages,Semi-Urban,106,10.93860977,0,4
2022-07-09,1002,Dairy,Rural,429,13.73182466,0,5
2022-07-10,1005,Snacks,Urban,874,18.66251167,0,6
2022-07-11,1004,Personal Care,Urban,1796,11.11294405,0,0
2022-07-12,1003,Household,Urban,250,12.03770901,0,1
2022-07-13,1005,Snacks,Urban,1208,2.702900444,0,2
2022-07-14,1003,Household,Semi-Urban,246,14.63507993,1,3
2022-07-15,1002,Dairy,Semi-Urban,1747,8.598198929,1,4
2022-07-16,1002,Dairy,Urban,1504,19.55777953,0,5
2022-07-17,1001,Beverages,Rural,1014,16.6403063,0,6
2022-07-18,1004,Personal Care,Urban,1671,10.92713977,1,0
2022-07-19,1003,Household,Rural,1408,3.341230429,1,1
2022-07-20,1005,Snacks,Urban,799,17.32890007,1,2
2022-07-21,1002,Dairy,Rural,181,16.19584081,1,3
2022-07-22,1001,Beverages,Urban,613,4.507117461,0,4
2022-07-23,1001,Beverages,Rural,914,6.610287495,0,5
2022-07-24,1003,Household,Urban,808,16.0747379,0,6
2022-07-25,1002,Dairy,Urban,1646,4.519340484,0,0
2022-07-26,1004,Personal Care,Rural,845,18.43729729,0,1
2022-07-27,1002,Dairy,Semi-Urban,1122,9.066021079,1,2
2022-07-28,1003,Household,Rural,1509,2.653740289,0,3
2022-07-29,1003,Household,Semi-Urban,806,16.49922423,1,4
2022-07-30,1002,Dairy,Urban,570,8.096683978,0,5
2022-07-31,1003,Household,Rural,1242,11.00348469,0,6
2022-08-01,1002,Dairy,Rural,495,3.133782544,0,0
2022-08-02,1005,Snacks,Rural,1655,1.049096282,0,1
2022-08-03,1002,Dairy,Semi-Urban,360,13.12171891,0,2
2022-08-04,1002,Dairy,Semi-Urban,904,10.78832824,1,3
2022-08-05,1003,Household,Urban,1033,12.27723281,1,4
2022-08-06,1003,Household,Semi-Urban,1379,16.08113316,1,5
2022-08-07,1001,Beverages,Semi-Urban,1857,13.28551236,0,6
2022-08-08,1001,Beverages,Urban,1004,4.320695414,0,0
2022-08-09,1005,Snacks,Rural,1349,7.854677863,1,1
2022-08-10,1001,Beverages,Rural,1176,18.21193099,0,2
2022-08-11,1002,Dairy,Urban,1039,15.6289493,0,3
2022-08-12,1003,Household,Rural,1990,11.5761041,1,4
2022-08-13,1001,Beverages,Semi-Urban,1623,5.857254958,0,5
2022-08-14,1001,Beverages,Urban,1629,6.739149535,1,6
2022-08-15,1005,Snacks,Urban,953,14.90720328,0,0
2022-08-16,1005,Snacks,Urban,1487,17.17231096,1,1
2022-08-17,1002,Dairy,Rural,1403,13.75706872,0,2
2022-08-18,1003,Household,Urban,692,16.38106954,0,3
2022-08-19,1005,Snacks,Urban,813,15.56646657,1,4
2022-08-20,1001,Beverages,Urban,1281,3.844375391,0,5
2022-08-21,1003,Household,Rural,731,9.054951445,0,6
2022-08-22,1003,Household,Semi-Urban,158,3.906692216,1,0
2022-08-23,1001,Beverages,Urban,1850,5.469476111,0,1
2022-08-24,1005,Snacks,Semi-Urban,227,17.51593287,1,2
2022-08-25,1001,Beverages,Rural,835,9.984947347,0,3
2022-08-26,1003,Household,Rural,820,11.17180394,0,4
2022-08-27,1004,Personal Care,Rural,1238,4.390473339,0,5
2022-08-28,1004,Personal Care,Rural,1332,6.933163935,0,6
2022-08-29,1002,Dairy,Semi-Urban,625,5.3746772,1,0
2022-08-30,1001,Beverages,Urban,620,4.917537126,0,1
2022-08-31,1001,Beverages,Rural,651,13.12125507,1,2
2022-09-01,1002,Dairy,Rural,336,5.880793105,0,3
2022-09-02,1002,Dairy,Semi-Urban,1404,13.00829423,0,4
2022-09-03,1002,Dairy,Semi-Urban,1482,2.110637668,0,5
2022-09-04,1003,Household,Rural,1324,3.693713477,0,6
2022-09-05,1001,Beverages,Urban,1881,6.216264826,1,0
2022-09-06,1003,Household,Urban,1401,12.34389142,1,1
2022-09-07,1002,Dairy,Rural,1358,13.84098366,1,2
2022-09-08,1001,Beverages,Semi-Urban,593,9.411622369,1,3
2022-09-09,1003,Household,Rural,103,9.470027377,0,4
2022-09-10,1003,Household,Rural,765,14.76582018,1,5
2022-09-11,1002,Dairy,Semi-Urban,541,1.300600744,1,6
2022-09-12,1001,Beverages,Rural,128,7.480710465,0,0
2022-09-13,1002,Dairy,Rural,1232,16.55543409,0,1
2022-09-14,1001,Beverages,Rural,709,12.46116879,0,2
2022-09-15,1004,Personal Care,Semi-Urban,1850,7.407315522,0,3
2022-09-16,1005,Snacks,Urban,904,18.20497105,1,4
2022-09-17,1005,Snacks,Urban,174,15.67983182,1,5
2022-09-18,1005,Snacks,Semi-Urban,937,6.033013497,0,6
2022-09-19,1002,Dairy,Urban,1269,13.26050691,0,0
2022-09-20,1004,Personal Care,Rural,227,12.31926384,0,1
2022-09-21,1001,Beverages,Urban,1976,8.622570367,1,2
2022-09-22,1003,Household,Rural,141,7.972165505,1,3
2022-09-23,1001,Beverages,Urban,1479,7.527649021,0,4
2022-09-24,1003,Household,Semi-Urban,140,12.72595988,0,5
2022-09-25,1001,Beverages,Urban,1033,9.405788793,1,6
2022-09-26,1004,Personal Care,Urban,133,16.80539915,0,0
2022-09-27,1003,Household,Urban,1140,13.72244971,0,1
2022-09-28,1002,Dairy,Semi-Urban,1800,2.328700508,1,2
2022-09-29,1001,Beverages,Urban,1276,13.16319625,0,3
2022-09-30,1001,Beverages,Semi-Urban,1097,6.151801294,1,4
2022-10-01,1003,Household,Rural,1501,12.26342784,0,5
2022-10-02,1002,Dairy,Urban,687,13.92250669,0,6
2022-10-03,1002,Dairy,Semi-Urban,1722,5.385754594,1,0
2022-10-04,1004,Personal Care,Semi-Urban,1752,9.680314253,1,1
2022-10-05,1002,Dairy,Urban,1997,4.616172394,0,2
2022-10-06,1002,Dairy,Rural,441,1.99443864,1,3
2022-10-07,1002,Dairy,Semi-Urban,126,8.191052046,0,4
2022-10-08,1005,Snacks,Urban,1948,7.895941165,0,5
2022-10-09,1004,Personal Care,Rural,1410,19.91412932,1,6
2022-10-10,1001,Beverages,Semi-Urban,745,9.480694673,0,0
2022-10-11,1003,Household,Semi-Urban,830,7.33782144,0,1
2022-10-12,1001,Beverages,Rural,267,12.02902513,1,2
2022-10-13,1004,Personal Care,Rural,709,2.686580488,1,3
2022-10-14,1003,Household,Urban,367,19.27164898,0,4
2022-10-15,1004,Personal Care,Urban,1872,13.06424087,1,5
2022-10-16,1002,Dairy,Semi-Urban,920,15.34191858,1,6
2022-10-17,1003,Household,Rural,554,4.239080825,1,0
2022-10-18,1002,Dairy,Rural,1005,8.780079207,1,1
2022-10-19,1001,Beverages,Rural,1808,9.031093155,0,2
2022-10-20,1001,Beverages,Semi-Urban,1524,16.61432243,0,3
2022-10-21,1003,Household,Rural,1021,1.023496915,0,4
2022-10-22,1003,Household,Rural,1080,6.716209059,1,5
2022-10-23,1004,Personal Care,Semi-Urban,1599,19.64349111,1,6
2022-10-24,1004,Personal Care,Urban,801,10.02284433,1,0
2022-10-25,1002,Dairy,Urban,733,8.267999325,1,1
2022-10-26,1003,Household,Semi-Urban,1681,3.276751038,1,2
2022-10-27,1001,Beverages,Rural,1699,19.50912794,1,3
2022-10-28,1004,Personal Care,Semi-Urban,229,1.380500763,1,4
2022-10-29,1004,Personal Care,Urban,1119,15.00642428,0,5
2022-10-30,1001,Beverages,Urban,1945,15.60339629,0,6
2022-10-31,1004,Personal Care,Semi-Urban,1486,5.629477605,1,0
2022-11-01,1002,Dairy,Semi-Urban,1828,13.75961043,1,1
2022-11-02,1003,Household,Urban,918,2.765653743,1,2
2022-11-03,1001,Beverages,Semi-Urban,792,5.883898062,0,3
2022-11-04,1003,Household,Urban,1415,15.97013778,0,4
2022-11-05,1004,Personal Care,Semi-Urban,1494,17.42903765,1,5
2022-11-06,1004,Personal Care,Semi-Urban,893,12.56124184,1,6
2022-11-07,1001,Beverages,Semi-Urban,128,10.6299302,0,0
2022-11-08,1002,Dairy,Urban,248,4.026776392,0,1
2022-11-09,1005,Snacks,Semi-Urban,1902,2.199071629,0,2
2022-11-10,1001,Beverages,Urban,1419,3.235331541,0,3
2022-11-11,1005,Snacks,Urban,110,5.319788702,1,4
2022-11-12,1005,Snacks,Semi-Urban,1635,7.491815536,0,5
2022-11-13,1002,Dairy,Semi-Urban,775,8.237280985,0,6
2022-11-14,1005,Snacks,Urban,1236,7.580113603,1,0
2022-11-15,1005,Snacks,Urban,286,5.542051312,0,1
2022-11-16,1002,Dairy,Rural,906,10.68476069,0,2
2022-11-17,1005,Snacks,Urban,843,16.68043606,0,3
2022-11-18,1005,Snacks,Rural,1350,6.314367231,1,4
2022-11-19,1005,Snacks,Rural,1433,18.90535336,0,5
2022-11-20,1001,Beverages,Rural,197,17.59339657,1,6
2022-11-21,1001,Beverages,Semi-Urban,154,4.073520016,1,0
2022-11-22,1001,Beverages,Semi-Urban,722,15.93924318,0,1
2022-11-23,1002,Dairy,Urban,763,11.91716026,0,2
2022-11-24,1004,Personal Care,Rural,857,11.76493188,0,3
2022-11-25,1005,Snacks,Semi-Urban,505,8.429812498,0,4
2022-11-26,1005,Snacks,Semi-Urban,168,10.52190698,1,5
2022-11-27,1002,Dairy,Semi-Urban,1435,8.546396771,0,6
2022-11-28,1005,Snacks,Semi-Urban,1412,11.25491976,0,0
2022-11-29,1001,Beverages,Semi-Urban,1885,12.931051,0,1
2022-11-30,1004,Personal Care,Rural,1671,13.81177232,1,2
2022-12-01,1003,Household,Rural,850,11.11714266,0,3
2022-12-02,1005,Snacks,Rural,1271,14.70701928,0,4
2022-12-03,1001,Beverages,Rural,1590,3.684282936,1,5
2022-12-04,1003,Household,Urban,1862,5.027667327,1,6
2022-12-05,1004,Personal Care,Rural,1367,16.55596508,0,0
2022-12-06,1003,Household,Semi-Urban,1614,7.128031579,0,1
2022-12-07,1001,Beverages,Rural,1972,1.434982675,0,2
2022-12-08,1003,Household,Urban,1057,3.922031844,0,3
2022-12-09,1002,Dairy,Semi-Urban,1630,5.248674255,0,4
2022-12-10,1003,Household,Rural,464,19.18913487,1,5
2022-12-11,1005,Snacks,Rural,581,11.88778715,1,6
2022-12-12,1005,Snacks,Rural,300,18.72188407,0,0
2022-12-13,1002,Dairy,Semi-Urban,253,11.92810366,0,1
2022-12-14,1001,Beverages,Semi-Urban,1573,10.10773436,1,2
2022-12-15,1005,Snacks,Urban,1624,6.960826133,0,3
2022-12-16,1004,Personal Care,Semi-Urban,172,12.52104794,0,4
2022-12-17,1005,Snacks,Semi-Urban,812,3.644762468,0,5
2022-12-18,1005,Snacks,Rural,395,18.06697092,0,6
2022-12-19,1001,Beverages,Semi-Urban,1140,16.7573157,0,0
2022-12-20,1003,Household,Rural,1764,7.03309751,1,1
2022-12-21,1005,Snacks,Rural,1340,19.10315302,0,2
2022-12-22,1002,Dairy,Semi-Urban,160,16.67881458,0,3
2022-12-23,1003,Household,Urban,1038,13.65983083,0,4
2022-12-24,1004,Personal Care,Urban,1739,3.313476311,1,5
2022-12-25,1001,Beverages,Semi-Urban,141,10.08644644,1,6
2022-12-26,1004,Personal Care,Urban,124,10.61604354,1,0
2022-12-27,1003,Household,Rural,1162,5.418475809,1,1
2022-12-28,1003,Household,Rural,1926,2.519342493,0,2
2022-12-29,1003,Household,Semi-Urban,230,15.75774898,1,3
2022-12-30,1004,Personal Care,Urban,1621,3.31866599,0,4
2022-12-31,1003,Household,Urban,1352,12.29152426,0,5
2023-01-01,1004,Personal Care,Rural,207,18.7925343,1,6
2023-01-02,1003,Household,Semi-Urban,271,17.64599866,1,0
2023-01-03,1002,Dairy,Urban,1558,6.277299851,1,1
2023-01-04,1003,Household,Semi-Urban,1601,17.17752411,1,2
2023-01-05,1004,Personal Care,Urban,201,1.006317616,1,3
2023-01-06,1005,Snacks,Rural,965,1.336068383,0,4
2023-01-07,1003,Household,Rural,623,12.44851011,1,5
2023-01-08,1005,Snacks,Semi-Urban,374,7.931166164,1,6
2023-01-09,1002,Dairy,Rural,1736,8.342755982,1,0
2023-01-10,1001,Beverages,Urban,1167,11.72438072,0,1
2023-01-11,1002,Dairy,Rural,916,4.643866656,1,2
2023-01-12,1003,Household,Semi-Urban,1056,5.023351663,0,3
2023-01-13,1005,Snacks,Semi-Urban,1140,10.20743015,1,4
2023-01-14,1005,Snacks,Semi-Urban,429,15.33081734,1,5
2023-01-15,1004,Personal Care,Urban,1692,12.77045728,0,6
2023-01-16,1005,Snacks,Urban,1946,6.649745916,1,0
2023-01-17,1004,Personal Care,Urban,1620,9.176406373,0,1
2023-01-18,1001,Beverages,Urban,1938,4.242630412,0,2
2023-01-19,1003,Household,Urban,111,2.417966472,0,3
2023-01-20,1004,Personal Care,Rural,1441,15.87122477,1,4
2023-01-21,1001,Beverages,Urban,1715,6.042360775,1,5
2023-01-22,1005,Snacks,Urban,315,4.377561369,1,6
2023-01-23,1005,Snacks,Rural,438,14.14074306,0,0
2023-01-24,1001,Beverages,Urban,1899,12.74298181,1,1
2023-01-25,1005,Snacks,Semi-Urban,760,13.03060289,0,2
2023-01-26,1001,Beverages,Urban,1204,5.348997492,1,3
2023-01-27,1004,Personal Care,Urban,1850,5.420265233,0,4
2023-01-28,1004,Personal Care,Semi-Urban,1608,5.195249966,0,5
2023-01-29,1001,Beverages,Semi-Urban,473,4.301299318,0,6
2023-01-30,1004,Personal Care,Semi-Urban,1075,13.45874978,1,0
2023-01-31,1004,Personal Care,Semi-Urban,809,17.11230182,0,1
2023-02-01,1004,Personal Care,Urban,1323,14.76203192,0,2
2023-02-02,1002,Dairy,Semi-Urban,1660,16.04977904,0,3
2023-02-03,1003,Household,Semi-Urban,565,8.691170153,0,4
2023-02-04,1005,Snacks,Rural,1212,13.42744011,0,5
2023-02-05,1002,Dairy,Semi-Urban,1391,7.730488568,0,6
2023-02-06,1004,Personal Care,Semi-Urban,1778,10.98458782,1,0
2023-02-07,1001,Beverages,Rural,1694,10.15106208,1,1
2023-02-08,1004,Personal Care,Rural,588,4.360855758,0,2
2023-02-09,1003,Household,Urban,1661,8.354496446,1,3
2023-02-10,1004,Personal Care,Rural,146,19.31262323,1,4
2023-02-11,1001,Beverages,Urban,1411,5.723024897,0,5
2023-02-12,1003,Household,Rural,877,3.542270989,0,6
2023-02-13,1004,Personal Care,Rural,1139,8.953031811,0,0
2023-02-14,1003,Household,Urban,810,16.01641698,1,1
2023-02-15,1005,Snacks,Rural,500,12.06081637,0,2
2023-02-16,1005,Snacks,Urban,1917,13.93852172,1,3
2023-02-17,1004,Personal Care,Rural,1080,4.604202115,0,4
2023-02-18,1003,Household,Semi-Urban,1209,12.76001567,1,5
2023-02-19,1001,Beverages,Rural,349,7.146507503,0,6
2023-02-20,1004,Personal Care,Urban,490,16.85176395,0,0
2023-02-21,1005,Snacks,Rural,1905,12.95667731,1,1
2023-02-22,1005,Snacks,Urban,434,4.778269278,1,2
2023-02-23,1004,Personal Care,Urban,728,2.227716917,1,3
2023-02-24,1003,Household,Semi-Urban,1642,1.810030976,1,4
2023-02-25,1005,Snacks,Semi-Urban,236,8.056762785,1,5
2023-02-26,1003,Household,Urban,982,6.051171596,1,6
2023-02-27,1005,Snacks,Rural,787,13.27571235,0,0
2023-02-28,1005,Snacks,Urban,1963,10.48734286,1,1
2023-03-01,1002,Dairy,Urban,1621,6.054366282,0,2
2023-03-02,1005,Snacks,Rural,926,3.835517781,0,3
2023-03-03,1001,Beverages,Rural,826,3.416795491,1,4
2023-03-04,1004,Personal Care,Rural,1600,17.42854745,0,5
2023-03-05,1004,Personal Care,Rural,693,5.6260814,1,6
