date,product_id,region,category,weather_condition,daily_sales,price,promotion
2022-01-01,P0008,West,Toys,Snowy,317,34.08,1
2022-01-01,P0009,West,Groceries,Snowy,97,87.81,0
2022-01-01,P0010,East,Clothing,Rainy,8,37.04,1
2022-01-01,P0011,West,Groceries,Rainy,104,54.12,1
2022-01-01,P0012,West,Electronics,Sunny,87,67.64,0
2022-01-01,P0013,South,Furniture,Cloudy,238,82.18,0
2022-01-01,P0014,South,Electronics,Cloudy,171,42.62,1
2022-01-01,P0015,West,Furniture,Cloudy,250,11.54,0
2022-01-01,P0016,South,Clothing,Sunny,11,16.3,0
2022-01-01,P0017,East,Electronics,Sunny,371,98.31,1
2022-01-01,P0018,West,Furniture,Snowy,107,48.96,1
2022-01-01,P0019,South,Groceries,Rainy,106,88.22,0
2022-01-01,P0020,South,Electronics,Snowy,101,11.04,1
2022-01-02,P0001,West,Groceries,Cloudy,81,27.95,0
2022-01-02,P0002,West,Clothing,Cloudy,163,19.78,0
2022-01-02,P0003,South,Clothing,Snowy,464,70.99,0
2022-01-02,P0004,East,Groceries,Snowy,116,49.56,0
2022-01-02,P0005,East,Electronics,Sunny,200,23.76,1
2022-01-02,P0006,East,Furniture,Snowy,58,47.56,1
2022-01-02,P0007,North,Electronics,Snowy,56,17.1,1
2022-01-02,P0008,East,Clothing,Cloudy,74,58.89,0
2022-01-02,P0009,South,Toys,Cloudy,54,99.76,0
2022-01-02,P0010,North,Clothing,Sunny,39,11.44,0
2022-01-02,P0011,East,Furniture,Cloudy,12,53.84,1
2022-01-02,P0012,East,Furniture,Snowy,56,57.84,1
2022-01-02,P0013,North,Toys,Cloudy,31,35.51,1
2022-01-02,P0014,West,Electronics,Cloudy,25,31.41,1
2022-01-02,P0015,East,Electronics,Cloudy,198,28.06,1
2022-01-02,P0016,West,Electronics,Snowy,77,35.67,0
2022-01-02,P0017,West,Furniture,Cloudy,165,28.18,0
2022-01-02,P0018,North,Toys,Snowy,42,74.42,0
2022-01-02,P0019,South,Furniture,Cloudy,8,91.95,1
2022-01-02,P0020,North,Electronics,Snowy,174,97.88,0
2022-01-02,P0001,West,Electronics,Rainy,343,66.57,1
2022-01-02,P0002,West,Furniture,Rainy,71,90.36,0
2022-01-02,P0003,West,Groceries,Snowy,157,92.24,1
2022-01-02,P0004,South,Groceries,Snowy,88,68.71,0
2022-01-02,P0005,North,Groceries,Cloudy,64,87.22,1
2022-01-02,P0006,East,Groceries,Rainy,273,79.38,0
2022-01-02,P0007,North,Groceries,Snowy,247,17.41,0
2022-01-02,P0008,North,Electronics,Sunny,42,14.8,1
2022-01-02,P0009,North,Electronics,Sunny,197,30.5,0
2022-01-02,P0010,West,Groceries,Cloudy,374,27.84,1
2022-01-02,P0011,East,Furniture,Cloudy,154,88.62,0
2022-01-02,P0012,North,Toys,Rainy,236,82.35,0
2022-01-02,P0013,North,Toys,Sunny,278,92.57,1
2022-01-02,P0014,West,Furniture,Rainy,27,94.38,0
2022-01-02,P0015,North,Toys,Cloudy,106,70.59,1
2022-01-02,P0016,West,Toys,Sunny,154,63.13,0
2022-01-02,P0017,West,Clothing,Rainy,176,46.04,1
2022-01-02,P0018,East,Groceries,Sunny,124,21.07,0
2022-01-02,P0019,East,Toys,Cloudy,479,79.11,0
2022-01-02,P0020,South,Clothing,Sunny,78,64.99,1
2022-01-02,P0001,West,Toys,Cloudy,114,73.48,0
2022-01-02,P0002,East,Groceries,Rainy,2,87.5,0
2022-01-02,P0003,East,Toys,Cloudy,7,88.68,1
2022-01-02,P0004,West,Furniture,Snowy,54,82.36,0
2022-01-02,P0005,East,Furniture,Cloudy,282,38.56,0
2022-01-02,P0006,East,Groceries,Cloudy,93,97.74,0
2022-01-02,P0007,West,Electronics,Cloudy,85,37.68,0
2022-01-02,P0008,South,Clothing,Rainy,136,36.03,0
2022-01-02,P0009,West,Electronics,Snowy,140,88.97,1
2022-01-02,P0010,West,Furniture,Cloudy,79,16.48,1
2022-01-02,P0011,South,Furniture,Cloudy,106,58.37,1
2022-01-02,P0012,West,Groceries,Snowy,1,27.86,1
2022-01-02,P0013,West,Electronics,Rainy,203,39.14,1
2022-01-02,P0014,North,Toys,Cloudy,368,66.51,0
2022-01-02,P0015,East,Electronics,Snowy,286,89.65,0
2022-01-02,P0016,South,Clothing,Rainy,69,86.7,0
2022-01-02,P0017,South,Toys,Snowy,52,29.69,0
2022-01-02,P0018,East,Toys,Rainy,109,86.93,1
2022-01-02,P0019,North,Furniture,Cloudy,50,59.33,0
2022-01-02,P0020,East,Electronics,Rainy,0,57.07,1
2022-01-02,P0001,North,Electronics,Rainy,22,74.16,0
2022-01-02,P0002,East,Electronics,Sunny,45,59.38,1
2022-01-02,P0003,East,Clothing,Sunny,89,48.18,1
2022-01-02,P0004,East,Groceries,Snowy,209,94.75,0
2022-01-02,P0005,West,Toys,Sunny,4,60.89,0
2022-01-02,P0006,East,Toys,Cloudy,47,14.71,0
2022-01-02,P0007,West,Furniture,Rainy,115,33.09,0
2022-01-02,P0008,South,Toys,Snowy,27,98.75,0
2022-01-02,P0009,South,Furniture,Snowy,90,12.4,0
2022-01-02,P0010,South,Groceries,Snowy,206,92.01,1
2022-01-02,P0011,East,Toys,Sunny,328,92.12,1
2022-01-02,P0012,South,Groceries,Sunny,155,37.39,0
2022-01-02,P0013,West,Clothing,Rainy,184,85.35,1
2022-01-02,P0014,East,Electronics,Cloudy,16,82.64,0
2022-01-02,P0015,North,Toys,Snowy,90,92.19,1
2022-01-02,P0016,West,Clothing,Sunny,178,61.41,0
2022-01-02,P0017,South,Electronics,Cloudy,256,96.47,0
2022-01-02,P0018,South,Furniture,Sunny,27,89.33,0
2022-01-02,P0019,North,Groceries,Rainy,67,59.49,1
2022-01-02,P0020,North,Electronics,Sunny,84,73.05,1
2022-01-02,P0001,East,Groceries,Sunny,67,67.49,0
2022-01-02,P0002,West,Furniture,Sunny,15,66.05,1
2022-01-02,P0003,West,Toys,Rainy,333,80.88,1
2022-01-02,P0004,North,Groceries,Cloudy,56,60.5,1
2022-01-02,P0005,West,Furniture,Rainy,165,71.72,0
2022-01-02,P0006,North,Clothing,Rainy,54,69.21,1
2022-01-02,P0007,East,Clothing,Snowy,93,70.69,0
2022-01-02,P0008,East,Furniture,Cloudy,250,63.54,0
2022-01-02,P0009,West,Electronics,Sunny,90,78.08,0
2022-01-02,P0010,West,Furniture,Sunny,83,43.09,1
2022-01-02,P0011,East,Electronics,Sunny,16,25.67,1
2022-01-02,P0012,West,Toys,Rainy,87,38.59,0
2022-01-02,P0013,East,Furniture,Sunny,241,57.99,0
2022-01-02,P0014,South,Toys,Snowy,286,14.65,1
2022-01-02,P0015,West,Clothing,Rainy,60,63.26,1
2022-01-02,P0016,East,Groceries,Cloudy,437,43.64,1
2022-01-02,P0017,North,Toys,Sunny,377,84.85,1
2022-01-02,P0018,West,Clothing,Rainy,83,47.05,1
2022-01-02,P0019,West,Clothing,Snowy,203,76.83,0
2022-01-02,P0020,South,Clothing,Sunny,183,93.95,1
2022-01-03,P0001,West,Electronics,Rainy,5,62.7,0
2022-01-03,P0002,East,Clothing,Cloudy,199,54.02,0
2022-01-03,P0003,South,Toys,Rainy,176,26.03,0
2022-01-03,P0004,East,Electronics,Cloudy,214,10.19,1
2022-01-03,P0005,West,Groceries,Sunny,165,95.54,0
2022-01-03,P0006,South,Furniture,Sunny,9,57.65,0
2022-01-03,P0007,South,Clothing,Sunny,140,87.85,0
2022-01-03,P0008,West,Groceries,Snowy,177,53.94,0
2022-01-03,P0009,South,Groceries,Sunny,217,61.42,0
2022-01-03,P0010,West,Electronics,Snowy,47,99.14,0
2022-01-03,P0011,East,Groceries,Cloudy,3,60.52,0
2022-01-03,P0012,East,Clothing,Cloudy,2,86.93,0
2022-01-03,P0013,South,Clothing,Snowy,18,83.11,1
2022-01-03,P0014,South,Toys,Rainy,242,32.28,1
2022-01-03,P0015,North,Toys,Sunny,228,52.17,1
2022-01-03,P0016,East,Clothing,Snowy,31,93.61,1
2022-01-03,P0017,North,Clothing,Sunny,16,98.25,0
2022-01-03,P0018,East,Furniture,Rainy,20,78.53,0
2022-01-03,P0019,South,Furniture,Sunny,193,56.91,1
2022-01-03,P0020,North,Toys,Cloudy,118,35.32,1
2022-01-03,P0001,North,Toys,Rainy,96,48.08,1
2022-01-03,P0002,North,Electronics,Snowy,48,46.95,1
2022-01-03,P0003,West,Furniture,Cloudy,130,94.45,1
2022-01-03,P0004,North,Groceries,Snowy,11,27.28,1
2022-01-03,P0005,West,Groceries,Snowy,313,29.74,1
2022-01-03,P0006,North,Furniture,Snowy,352,27.64,0
2022-01-03,P0007,South,Toys,Rainy,265,60.54,0
2022-01-03,P0008,South,Furniture,Cloudy,11,58.55,0
2022-01-03,P0009,South,Groceries,Cloudy,191,58.59,0
2022-01-03,P0010,West,Electronics,Rainy,185,95.48,1
2022-01-03,P0011,North,Clothing,Snowy,143,37.81,1
2022-01-03,P0012,West,Electronics,Rainy,85,48.7,0
2022-01-03,P0013,West,Groceries,Cloudy,270,65.89,0
2022-01-03,P0014,West,Groceries,Rainy,233,20.37,1
2022-01-03,P0015,West,Furniture,Snowy,187,46.25,0
2022-01-03,P0016,South,Electronics,Rainy,39,71.74,0
2022-01-03,P0017,West,Toys,Rainy,234,20.57,1
2022-01-03,P0018,South,Clothing,Rainy,213,29.88,1
2022-01-03,P0019,North,Clothing,Rainy,55,73.98,1
2022-01-03,P0020,South,Groceries,Sunny,22,45.02,0
2022-01-03,P0001,North,Clothing,Sunny,100,82.88,1
2022-01-03,P0002,North,Groceries,Cloudy,353,17.36,1
2022-01-03,P0003,West,Electronics,Snowy,255,42.7,0
2022-01-03,P0004,South,Clothing,Sunny,154,89.67,0
2022-01-03,P0005,East,Clothing,Cloudy,147,65.77,1
2022-01-03,P0006,North,Electronics,Cloudy,342,95.74,0
2022-01-03,P0007,West,Furniture,Cloudy,54,98.9,0
2022-01-03,P0008,East,Toys,Cloudy,289,41.11,0
2022-01-03,P0009,South,Toys,Snowy,179,42.07,1
2022-01-03,P0010,South,Furniture,Rainy,175,95.89,1
2022-01-03,P0011,West,Clothing,Sunny,209,84.12,0
2022-01-03,P0012,East,Toys,Rainy,109,71.21,1
2022-01-03,P0013,South,Groceries,Rainy,43,49.23,1
2022-01-03,P0014,South,Toys,Rainy,58,21.87,1
2022-01-03,P0015,South,Electronics,Cloudy,399,60.83,1
2022-01-03,P0016,West,Clothing,Rainy,95,56.78,0
2022-01-03,P0017,West,Clothing,Snowy,296,76.12,0
2022-01-03,P0018,East,Electronics,Sunny,105,98.9,0
2022-01-03,P0019,East,Clothing,Cloudy,103,46.24,0
2022-01-03,P0020,South,Toys,Cloudy,131,16.35,0
2022-01-03,P0001,East,Groceries,Sunny,66,83.63,0
2022-01-03,P0002,West,Groceries,Cloudy,163,81.57,1
2022-01-03,P0003,South,Clothing,Snowy,98,44.68,0
2022-01-03,P0004,East,Groceries,Rainy,150,60.11,1
2022-01-03,P0005,North,Furniture,Snowy,15,24.63,0
2022-01-03,P0006,North,Electronics,Cloudy,36,36.31,1
2022-01-03,P0007,East,Electronics,Cloudy,303,11.36,1
2022-01-03,P0008,East,Electronics,Rainy,209,63.1,1
2022-01-03,P0009,West,Electronics,Sunny,69,30.82,0
2022-01-03,P0010,West,Electronics,Snowy,143,23.73,0
2022-01-03,P0011,West,Clothing,Sunny,239,29.49,0
2022-01-03,P0012,North,Groceries,Cloudy,192,74.42,1
2022-01-03,P0013,South,Clothing,Rainy,23,58.3,1
2022-01-03,P0014,East,Groceries,Sunny,165,60.58,1
2022-01-03,P0015,South,Groceries,Rainy,85,73.48,0
2022-01-03,P0016,East,Groceries,Cloudy,79,16.18,0
2022-01-03,P0017,North,Toys,Rainy,33,38.52,0
2022-01-03,P0018,South,Electronics,Snowy,270,46.93,0
2022-01-03,P0019,North,Toys,Snowy,1,80.41,0
2022-01-03,P0020,East,Clothing,Cloudy,149,95.33,0
2022-01-03,P0001,North,Groceries,Snowy,3,36.3,0
2022-01-03,P0002,North,Electronics,Sunny,59,82.08,1
2022-01-03,P0003,East,Groceries,Snowy,15,46.4,0
2022-01-03,P0004,South,Groceries,Cloudy,351,59.76,0
2022-01-03,P0005,North,Groceries,Sunny,66,60.35,1
2022-01-03,P0006,West,Groceries,Snowy,62,40.61,1
2022-01-03,P0007,West,Clothing,Rainy,77,63.61,1
2022-01-03,P0008,South,Electronics,Snowy,177,97.09,1
2022-01-03,P0009,West,Electronics,Sunny,349,52.72,0
2022-01-03,P0010,North,Groceries,Sunny,74,14.41,1
2022-01-03,P0011,North,Groceries,Cloudy,40,74.14,1
2022-01-03,P0012,North,Toys,Rainy,72,46.94,1
2022-01-03,P0013,South,Toys,Snowy,190,23.04,0
2022-01-03,P0014,North,Toys,Sunny,263,28.02,1
2022-01-03,P0015,South,Toys,Cloudy,126,86.82,0
2022-01-03,P0016,North,Clothing,Cloudy,17,80.31,1
2022-01-03,P0017,East,Toys,Rainy,19,41.28,0
2022-01-03,P0018,North,Toys,Snowy,36,38.42,1
2022-01-03,P0019,North,Toys,Snowy,207,59.93,0
2022-01-03,P0020,South,Toys,Sunny,91,66.76,0
2022-01-04,P0001,South,Groceries,Cloudy,58,77.88,1
2022-01-04,P0002,North,Electronics,Sunny,91,88.22,1
2022-01-04,P0003,South,Toys,Cloudy,70,10.55,0
2022-01-04,P0004,North,Electronics,Sunny,0,44.81,1
2022-01-04,P0005,East,Electronics,Snowy,32,69.65,0
2022-01-04,P0006,South,Clothing,Cloudy,8,53.35,0
2022-01-04,P0007,North,Groceries,Cloudy,341,33.47,0
2022-01-04,P0008,East,Electronics,Sunny,347,61.1,0
2022-01-04,P0009,North,Groceries,Sunny,15,45.25,0
2022-01-04,P0010,East,Toys,Rainy,85,94.98,0
2022-01-04,P0011,South,Toys,Sunny,30,24.21,0
2022-01-04,P0012,West,Electronics,Snowy,136,66.07,0
2022-01-04,P0013,North,Toys,Sunny,31,34.68,0
2022-01-04,P0014,East,Clothing,Cloudy,7,98.28,1
2022-01-04,P0015,West,Electronics,Cloudy,377,87.24,1
2022-01-04,P0016,North,Groceries,Sunny,28,93.4,0
2022-01-04,P0017,West,Toys,Cloudy,348,53.02,1
2022-01-04,P0018,South,Groceries,Sunny,258,58.54,1
2022-01-04,P0019,West,Toys,Sunny,41,63.29,1
2022-01-04,P0020,North,Electronics,Snowy,49,10.93,1
2022-01-04,P0001,North,Clothing,Sunny,83,45.49,1
2022-01-04,P0002,West,Furniture,Cloudy,60,52.33,1
2022-01-04,P0003,North,Toys,Rainy,448,41.55,0
2022-01-04,P0004,East,Toys,Sunny,11,58.13,1
2022-01-04,P0005,East,Groceries,Snowy,390,25.67,0
2022-01-04,P0006,West,Clothing,Sunny,81,33.96,0
2022-01-04,P0007,North,Electronics,Cloudy,121,81.35,0
2022-01-04,P0008,West,Groceries,Rainy,44,57.34,0
2022-01-04,P0009,East,Toys,Cloudy,88,50.36,0
2022-01-04,P0010,West,Groceries,Rainy,142,51.34,1
2022-01-04,P0011,North,Toys,Snowy,48,13.09,1
2022-01-04,P0012,North,Electronics,Cloudy,61,94.85,0
2022-01-04,P0013,East,Electronics,Sunny,140,16.47,0
2022-01-04,P0014,West,Toys,Cloudy,390,82.15,1
2022-01-04,P0015,North,Toys,Rainy,91,61.13,0
2022-01-04,P0016,East,Groceries,Snowy,32,63.74,0
2022-01-04,P0017,East,Electronics,Snowy,60,66.78,1
2022-01-04,P0018,South,Clothing,Sunny,206,30.12,1
2022-01-04,P0019,West,Groceries,Sunny,108,31.26,1
2022-01-04,P0020,East,Furniture,Rainy,349,21.47,0
2022-01-04,P0001,South,Furniture,Rainy,271,81.01,0
2022-01-04,P0002,South,Electronics,Snowy,202,59.97,1
2022-01-04,P0003,North,Toys,Snowy,34,26.87,0
2022-01-04,P0004,West,Clothing,Rainy,165,99.12,0
2022-01-04,P0005,North,Groceries,Rainy,2,24.29,0
2022-01-04,P0006,East,Electronics,Rainy,308,18.48,1
2022-01-04,P0007,North,Toys,Snowy,76,54.73,1
2022-01-04,P0008,East,Toys,Rainy,91,59.61,1
2022-01-04,P0009,West,Furniture,Cloudy,113,14.64,1
2022-01-04,P0010,East,Electronics,Cloudy,274,63.63,1
2022-01-04,P0011,East,Toys,Sunny,116,95.99,0
2022-01-04,P0012,North,Electronics,Rainy,5,75.41,1
2022-01-04,P0013,East,Furniture,Rainy,115,24.19,1
2022-01-04,P0014,East,Clothing,Sunny,79,85.33,1
2022-01-04,P0015,East,Electronics,Cloudy,223,15.58,0
2022-01-04,P0016,West,Furniture,Cloudy,258,19.63,1
2022-01-04,P0017,West,Toys,Rainy,236,53.81,0
2022-01-04,P0018,North,Toys,Cloudy,309,37.49,0
2022-01-04,P0019,North,Groceries,Rainy,32,38.2,0
2022-01-04,P0020,South,Clothing,Snowy,44,84.13,1
2022-01-04,P0001,South,Furniture,Sunny,145,20.39,0
2022-01-04,P0002,North,Groceries,Sunny,150,70.46,1
2022-01-04,P0003,West,Toys,Snowy,40,53.13,1
2022-01-04,P0004,West,Toys,Sunny,245,82.0,1
2022-01-04,P0005,North,Furniture,Snowy,241,75.55,0
2022-01-04,P0006,South,Groceries,Cloudy,138,50.26,1
2022-01-04,P0007,East,Clothing,Cloudy,152,56.58,1
2022-01-04,P0008,West,Furniture,Rainy,12,37.17,1
2022-01-04,P0009,South,Furniture,Sunny,158,82.75,1
2022-01-04,P0010,North,Clothing,Sunny,265,23.53,1
2022-01-04,P0011,East,Clothing,Sunny,240,56.3,0
2022-01-04,P0012,North,Toys,Cloudy,153,94.09,0
2022-01-04,P0013,West,Groceries,Snowy,68,24.53,1
2022-01-04,P0014,West,Furniture,Snowy,302,70.33,0
2022-01-04,P0015,West,Clothing,Rainy,70,79.68,1
2022-01-04,P0016,West,Groceries,Sunny,92,25.69,0
2022-01-04,P0017,East,Clothing,Sunny,275,25.04,1
2022-01-04,P0018,East,Groceries,Sunny,3,56.02,0
2022-01-04,P0019,West,Groceries,Rainy,307,31.39,1
2022-01-04,P0020,South,Groceries,Snowy,62,86.86,0
2022-01-04,P0001,North,Furniture,Rainy,195,21.71,0
2022-01-04,P0002,West,Furniture,Rainy,33,40.56,1
2022-01-04,P0003,South,Toys,Snowy,263,29.2,0
2022-01-04,P0004,West,Toys,Cloudy,83,82.18,1
2022-01-04,P0005,South,Toys,Sunny,78,45.85,1
2022-01-04,P0006,West,Clothing,Sunny,118,42.08,0
2022-01-04,P0007,North,Clothing,Cloudy,147,51.22,1
2022-01-04,P0008,South,Furniture,Cloudy,216,62.03,0
2022-01-04,P0009,West,Groceries,Snowy,27,36.53,1
2022-01-04,P0010,North,Electronics,Rainy,172,84.66,1
2022-01-04,P0011,West,Toys,Snowy,78,39.15,1
2022-01-04,P0012,South,Clothing,Cloudy,196,45.65,1
2022-01-04,P0013,North,Groceries,Sunny,75,40.27,1
2022-01-04,P0014,West,Toys,Snowy,11,82.99,1
2022-01-04,P0015,West,Clothing,Cloudy,144,60.15,1
2022-01-04,P0016,North,Electronics,Sunny,200,15.19,0
2022-01-04,P0017,North,Toys,Cloudy,256,37.46,1
2022-01-04,P0018,East,Groceries,Cloudy,118,34.44,0
2022-01-04,P0019,North,Toys,Rainy,244,84.99,0
2022-01-04,P0020,West,Furniture,Rainy,54,81.63,0
2022-01-05,P0001,South,Groceries,Sunny,147,28.46,1
2022-01-05,P0002,West,Toys,Rainy,220,79.54,0
2022-01-05,P0003,South,Toys,Rainy,97,80.57,1
2022-01-05,P0004,North,Electronics,Snowy,29,93.53,1
2022-01-05,P0005,West,Furniture,Cloudy,192,46.13,0
2022-01-05,P0006,North,Toys,Rainy,158,60.2,1
2022-01-05,P0007,West,Groceries,Cloudy,8,53.65,0
2022-01-05,P0008,West,Electronics,Snowy,42,59.2,0
2022-01-05,P0009,East,Furniture,Rainy,5,98.03,0
2022-01-05,P0010,East,Furniture,Rainy,93,32.6,0
2022-01-05,P0011,North,Groceries,Sunny,44,53.31,1
2022-01-05,P0012,West,Electronics,Sunny,78,93.96,0
2022-01-05,P0013,East,Toys,Snowy,57,83.3,0
2022-01-05,P0014,North,Toys,Rainy,161,12.66,1
2022-01-05,P0015,West,Toys,Rainy,172,55.77,1
2022-01-05,P0016,East,Groceries,Rainy,132,30.15,0
2022-01-05,P0017,East,Electronics,Snowy,46,63.75,0
2022-01-05,P0018,South,Groceries,Snowy,17,97.51,0
2022-01-05,P0019,West,Electronics,Rainy,38,49.8,1
2022-01-05,P0020,West,Toys,Rainy,11,33.3,0
2022-01-05,P0001,East,Furniture,Snowy,161,56.24,1
2022-01-05,P0002,North,Electronics,Sunny,101,43.43,1
2022-01-05,P0003,North,Electronics,Snowy,263,30.78,0
2022-01-05,P0004,North,Furniture,Sunny,32,82.85,0
2022-01-05,P0005,West,Clothing,Cloudy,209,87.11,1
2022-01-05,P0006,West,Groceries,Cloudy,24,56.68,0
2022-01-05,P0007,South,Groceries,Rainy,20,80.01,1
2022-01-05,P0008,East,Clothing,Cloudy,148,41.24,1
2022-01-05,P0009,West,Toys,Cloudy,100,96.96,1
2022-01-05,P0010,East,Toys,Snowy,129,87.69,0
2022-01-05,P0011,East,Furniture,Cloudy,257,74.45,1
2022-01-05,P0012,West,Groceries,Rainy,262,53.28,0
2022-01-05,P0013,East,Toys,Cloudy,200,25.38,1
2022-01-05,P0014,West,Groceries,Sunny,56,23.84,1
2022-01-05,P0015,South,Clothing,Cloudy,24,52.21,0
2022-01-05,P0016,West,Furniture,Cloudy,105,79.34,0
2022-01-05,P0017,East,Groceries,Snowy,294,13.13,0
2022-01-05,P0018,East,Groceries,Cloudy,142,23.28,1
2022-01-05,P0019,South,Electronics,Sunny,55,67.3,1
2022-01-05,P0020,South,Electronics,Cloudy,24,17.35,1
2022-01-05,P0001,West,Electronics,Snowy,53,93.06,1
2022-01-05,P0002,South,Groceries,Cloudy,189,84.04,0
2022-01-05,P0003,East,Furniture,Rainy,146,25.75,1
2022-01-05,P0004,East,Furniture,Cloudy,186,76.32,0
2022-01-05,P0005,West,Toys,Snowy,77,49.52,1
2022-01-05,P0006,East,Furniture,Snowy,225,93.81,0
2022-01-05,P0007,East,Clothing,Rainy,66,76.7,1
2022-01-05,P0008,South,Electronics,Snowy,35,24.28,1
2022-01-05,P0009,West,Electronics,Rainy,1,13.87,1
